Page Number,Layer Title,Cue Number,Label,Work Note
"6","Lights","1","Preshow",""
"6","Lights","5","Curtain speech",""
"6","Lights","9","Blackout",""
"6","Lights","10","Overture",""
"6","Lights","11","Solo: John - FOC?",""
"6","Lights","12","Lights up - Congress",""
"6","Sound","10","unmute John",""
"6","Sound","11","unmute Congress",""
"7","Lights","","Freeze - Solo John",""
"7","Lights","","Unfreeze",""
"7","Lights","","Focus John",""
"7","Lights","","No!!",""
"7","Lights","","Focus John",""
"7","Sound","12","unmute Congress A",""
"8","Lights","","No!!",""
"8","Lights","","John",""
"8","Lights","","Congress A",""
"8","Lights","","John",""
"8","Lights","","Full Congress",""
"8","Lights","","John",""
"8","Lights","","Dim Congress - Focus: John",""
"8","Lights","","Fade out Congress",""
"8","Lights","20","""Piddle Twiddle""",""
"8","Sound","13","mute Congress",""
"8","Sound","14","unmute Voice",""
"8","Sound","15","mute Voice",""
"9","Lights","","Focus Window ""Someone ought to open ..."" ",""
"9","Lights","","Focus Congress",""
"9","Sound","16","unmute Voice",""
"9","Sound","17","mute Voice",""
"9","Sound","18","mute John",""
"9","Sound","19","unmute Hancock",""
"9","Sound","20","mute Hancock",""
"9","Sound","21","unmute Wilson",""
"9","Sound","22","mute Wilson",""
"10","Lights","","Congress out",""
"10","Lights","","Abigail appears",""
"10","Sound","","unmute John",""
"10","Sound","","unmute Abigail",""
"11","Lights","","Focus John",""
"12","Lights","","Abigail sings",""
"12","Lights","","Pins!",""
"12","Lights","","Crescendo",""
"12","Lights","","Stop",""
"13","Lights","","Soften - focus C",""
"13","Lights","","Abigail sings",""
"13","Lights","","Slight fade",""
"13","Lights","","Abigail fade out",""
"13","Lights","","Dim Congress",""
"13","Lights","","Button - Congress out",""
"13","Lights","","Blackout",""
"13","Sound","","mute Abigail",""
"13","Sound","","unmute Congress",""
"13","Sound","","mute Congress",""
"14","Lights","30","Scene 2 - The Mall",""
"14","Sound","","unmute Franklin",""
"16","Lights","","Lee enters",""
"16","Sound","","unmute Lee",""
"18","Lights","","Slight focus",""
"18","Lights","","G. Wash",""
"18","Lights","","Back to scene",""
"18","Lights","40","""Lees of Old Virginia""",""
"18","Sound","","mute John",""
"18","Sound","","mute Franklin",""
"18","Sound","","unmute John",""
"18","Sound","","mute John",""
"18","Sound","","unmute Band",""
"19","Lights","","Snap Lee",""
"19","Lights","","Bigger",""
"19","Lights","","Portrait moment",""
"19","Lights","","Chorus",""
"19","Lights","","Franklin / Lee",""
"19","Sound","","unmute Franklin",""
"20","Lights","","FFV",""
"20","Lights","","Portrait 2",""
"20","Lights","","Short break",""
"20","Lights","","Portrait 3: Heaven",""
"20","Lights","","Snap",""
"20","Lights","","Lee Dance",""
"20","Lights","","Franklin and Lee",""
"20","Sound","","unmute John",""
"20","Sound","","mute John",""
"20","Sound","","mute Franklin",""
"20","Sound","","unmute Franklin",""
"20","Sound","","mute Franklin",""
"21","Lights","","Portrait 4: Family portrait",""
"21","Lights","","Arthur Lee",""
"21","Lights","","Bobby Lee",""
"21","Lights","","""Lighthorse"" Harry Lee",""
"21","Lights","","Jesse Lee",""
"21","Lights","","Willie Lee - Freeze",""
"21","Lights","","Slow build",""
"21","Lights","","Focus Lee",""
"21","Lights","","Dance",""
"21","Lights","","They dance",""
"21","Lights","","When do you leave?",""
"21","Lights","","Dance",""
"21","Lights","","When will you return?",""
"21","Lights","","Dance",""
"21","Sound","","unmute Franklin",""
"21","Sound","","mute Franklin",""
"21","Sound","","unmute Franklin",""
"22","Lights","","Big finish",""
"22","Lights","","Button",""
"22","Lights","","Back to scene",""
"22","Lights","50","He's Back!",""
"22","Sound","","mute Lee",""
"22","Sound","","unmute John",""
"22","Sound","","mute John",""
"23","Lights","","Dammit!",""
"23","Lights","","Final dance",""
"23","Lights","59","Fade to blackout",""
"23","Sound","","unmute John",""
"23","Sound","","mute John, Lee, Franklin, Band",""
"24","Lights","","Hall enters",""
"24","Lights","60","Scene 3 - The Chamber",""
"24","Sound","","unmute McNair, Hall",""
"25","Lights","","Hopkins enters",""
"25","Sound","","unmute Hopkins",""
"26","Lights","","Rutledge enters",""
"26","Sound","","mute McNair",""
"26","Sound","","unmute Rutledge",""
"27","Lights","","Focus - Rutledge and Hall",""
"27","Lights","","Ceaser enters",""
"27","Sound","","unmute McNair",""
"27","Sound","","mute Hopkins, McNair",""
"28","Lights","65","Chamber fills",""
"28","Sound","","unmute McKean",""
"28","Sound","","unmute Hall",""
"28","Sound","","unmute Rodney",""
"28","Sound","","mute McKean",""
"28","Sound","","mute Rutledge",""
"29","Lights","","Focus Dickinson, Rodney",""
"29","Sound","","unmute Dickinson",""
"29","Sound","","unmute Wilson",""
"29","Sound","","mute Dickinson",""
"30","Lights","","Focus Franklin",""
"30","Lights","","John enters",""
"30","Sound","","mute Rodney",""
"30","Sound","","mute Wilson",""
"30","Sound","","unmute Franklin",""
"30","Sound","","unmute Hopkins",""
"30","Sound","","mute Hall",""
"30","Sound","","mute Hopkins",""
"30","Sound","","unmute John",""
"31","Lights","","Focus Dickenson",""
"31","Sound","","unmute Dickinson",""
"31","Sound","","unmute Wilson",""
"32","Lights","","Focus Franklin, John",""
"32","Lights","70","Hancock enters",""
"32","Sound","","mute Dickinson",""
"32","Sound","","mute Wilson",""
"32","Sound","","unmute Hancock",""
"32","Sound","","unmute Thomson",""
"32","Sound","","mute John",""
"32","Sound","","unmute McNair",""
"32","Sound","","unmute Hopkins",""
"32","Sound","","mute McNair",""
"33","Sound","","mute Hopkins",""
"33","Sound","","mute Thomson",""
"33","Sound","","unmute Jefferson",""
"33","Sound","","mute Franklin",""
"34","Lights","","Jefferson at Window",""
"34","Lights","","Courier enters",""
"34","Lights","75","Focus Jefferson",""
"34","Lights","80","Focus Thomson",""
"34","Sound","","unmute Hopkins",""
"34","Sound","","mute Hancock",""
"34","Sound","","unmute Thomson",""
"34","Sound","","unmute McNair",""
"34","Sound","","mute McNair",""
"35","Lights","","Slow focus Thomson",""
"35","Lights","","Drum roll",""
"35","Lights","","G. Wash",""
"35","Lights","85","Back to scene",""
"35","Sound","","unmute Hancock",""
"35","Sound","","unmute McKean",""
"36","Lights","90","Lee enters",""
"36","Lights","91","Focus Tom",""
"36","Sound","","mute Thomson",""
"36","Sound","","unmute Bartlett",""
"36","Sound","","unmute Lee",""
"36","Sound","","mute McKean",""
"36","Sound","","unmute Franklin",""
"36","Sound","","mute Franklin",""
"36","Sound","","unmute John",""
"37","Lights","92","Cheers!",""
"37","Lights","93","Focus Dickinson",""
"37","Sound","","unmute Jefferson",""
"37","Sound","","mute Jefferson",""
"37","Sound","","mute Lee",""
"37","Sound","","mute John",""
"37","Sound","","unmute Hancock",""
"37","Sound","","unmute Wilson",""
"38","Lights","95","Focus Tally board",""
"38","Sound","","unmute Read",""
"38","Sound",""," mute Read",""
"38","Sound","","unmute McKean",""
"38","Sound","","mute McKean",""
"38","Sound","","mute Hancock",""
"38","Sound","","unmute Thomson",""
"38","Sound","","unmute Bartlett ",""
"38","Sound","","",""
"40","Lights","97","Focus Rutledge",""
"41","Lights","","Back to tally",""
"42","Lights","","Focus Hopkins",""
"42","Lights","100","Cheers!",""
"43","Lights","","Focus Dickinson",""
"44","Lights","","Bigger build",""
"44","Lights","","Focus Franklin",""
"44","Lights","105","Slow build",""
"51","Lights","","Fight",""
"51","Lights","110","Build",""
"52","Lights","115","Stop! Focus Rodney",""
"52","Lights","116","He falls",""
"52","Lights","117","Hall, McKean",""
"53","Lights","118","McKean carries Rodney out",""
"53","Lights","119","Focus Rutledge",""
"53","Lights","120","Focus Tally",""
"53","Lights","121","Arguments",""
"53","Lights","122","Focus Hancock",""
"53","Lights","123","Focus John, Franklin",""
"53","Lights","124","Focus Tally",""
"54","Lights","125","Witherspoon enters",""
"54","Lights","126","Focus Franklin",""
"55","Lights","127","Focus Tally",""
"55","Lights","130","Focus Dickinson",""
"56","Lights","131","Focus Tally",""
"57","Lights","132","Focus Hancock",""
"57","Lights","133","Focus Tally",""
"57","Lights","134","Focus John",""
"59","Lights","135","Focus Jefferson",""
"59","Lights","136","Fade Jefferson",""
"62","Lights","140","Congress adjourns",""
"62","Lights","141","Focus John, Franklin",""
"63","Lights","142","Glee Club",""
"63","Lights","143","John, Sherman",""
"64","Lights","145","Sherman",""
"64","Lights","146","Glee Club",""
"64","Lights","147","John, Livingston",""
"65","Lights","148","Glee Club",""
"65","Lights","149","Back to John, Livingston",""
"65","Lights","150","Livingston",""
"66","Lights","151","Glee Club",""
"66","Lights","152","Focus Jefferson",""
"66","Lights","153","John, Jefferson, Glee Club bkg",""
"67","Lights","154","Build",""
"67","Lights","155","Stop",""
"67","Lights","156","Focus John",""
"67","Lights","157","Glee Club",""
"67","Lights","158","Stop",""
"67","Lights","159","John, Jefferson",""
"68","Lights","160","I!",""
"68","Lights","161","You?",""
"68","Lights","162","Yes!",""
"68","Lights","163","Jefferson sings",""
"68","Lights","164","Glee Club",""
"68","Lights","165","Final Glee Club",""
"68","Lights","166","Quiet!",""
"69","Lights","167","Glee Club",""
"69","Lights","169","Blackout",""
"70","Lights","170","Scene 4 - Jefferson's Room",""
"70","Lights","171","Fade Jefferson",""
"70","Lights","172","Fade up John",""
"71","Lights","173","Martha enters",""
"72","Lights","174","John approaces",""
"73","Lights","175","Outside",""
"74","Lights","176","Franklin leaves",""
"74","Lights","177","Abigail appears",""
"75","Lights","178","They move C",""
"76","Lights","180","""Yours""",""
"76","Lights","181","",""
"76","Lights","182","",""
"76","Lights","183","",""
"76","Lights","184","",""
"77","Lights","185","",""
"77","Lights","186","",""
"77","Lights","187","Franklin enters",""
"78","Lights","190","Martha enters DSL",""
"79","Lights","191","Focus Martha",""
"81","Lights","195","",""
"81","Lights","196","",""
"82","Lights","200","""He Plays the Violin""",""
"82","Lights","201","",""
"82","Lights","202","",""
"82","Lights","203","",""
"82","Lights","204","",""
"83","Lights","205","",""
"83","Lights","206","",""
"84","Lights","210","",""
"84","Lights","211","",""
"84","Lights","212","",""
"84","Lights","213","",""
"84","Lights","214","Button",""
"85","Lights","215","Back to scene",""
"85","Lights","216","",""
"85","Lights","217","",""
"85","Lights","218","",""
"85","Lights","219","Final button",""
"86","Lights","220","Scene 5 - The Chamber",""
"86","Sound","200","unmute Thomson",""
"87","Sound","201","fade Thomson",""
"87","Sound","202","unmute Franklin",""
"87","Sound","203","unmute Hancock, Hopkins",""
"87","Sound","204","mute Hancock",""
"87","Sound","205","mute Hopkins",""
"87","Sound","206","fade up Thomson",""
"87","Sound","207","fade out Thomson",""
"88","Sound","208","unmute John",""
"88","Sound","209","fade up Thomson",""
"88","Sound","210","fade down Thomson",""
"88","Sound","211","fade up Thomson",""
"88","Sound","212","fade down Thomson",""
"89","Sound","213","unmute McKean",""
"90","Sound","214","fade up Thomson",""
"90","Sound","215","fade out Thomson",""
"90","Sound","216","unmute Wilson",""
"90","Sound","217","mute Wilson",""
"91","Sound","218","mute Franklin",""
"91","Sound","219","unmute Read",""
"91","Sound","220","mute McKean, Read",""
"91","Sound","221","unmute Chase",""
"91","Sound","222","mute Chase",""
"91","Sound","223","mute John",""
"92","Sound","224","unmute Hancock",""
"92","Sound","225","unmute McNair, Thomson",""
"92","Sound","226","mute McNair",""
"93","Sound","227","mute Thomson",""
"93","Sound","228","unmute McKean",""
"93","Sound","229","mute McKean",""
"93","Sound","230","mute Hancock",""
"93","Sound","231","unmute Witherspoon",""
"93","Sound","232","mute Witherspoon",""
"93","Sound","233","unmute Dickinson",""
"93","Sound","234","unmute John",""
"93","Sound","235","mute Dickinson",""
"93","Sound","236","unmute Rutledge",""
"93","Sound","237","mute Rutledge",""
"94","Sound","238","unmute Chase",""
"94","Sound","239","unmute McKean, Bartlett, Hopkins, Morris",""
"94","Sound","240","mute McKean, Bartlett, Hopkins, Morris, Chase",""
"95","Sound","241","unmute Hancock",""
"95","Sound","242","unmute Franklin, Hopkins",""
"95","Sound","243","mute Hopkins, Franklin",""
"95","Sound","244","mute John",""
"95","Sound","245","unmute Dickinson",""
"96","Sound","246","unmute McNair",""
"96","Sound","247","mute McNair",""
"96","Sound","248","unmute Conservatives",""
"98","Sound","","mute Conservatives",""
"98","Sound","","mute Dickinson",""
"98","Sound","260","unmute Thomson",""
"99","Sound","261","unmute Conservatives",""
"99","Sound","262","unmute Rutledge",""
"99","Sound","263","mute Conservatives",""
"99","Sound","264","unmute Hancock",""
"100","Sound","270","unmute Conservatives",""
"101","Sound","280","mute Conservatives",""
"101","Sound","281","unmute McNair, Courier",""
"101","Sound","282","unmute Leather Apron",""
"103","Sound","290","unmute Band",""
"104","Sound","298","mute McNair, Courier, Leather Apron",""
"104","Sound","299","mute Band",""
"105","Sound","300","unmute Hancock, Thomson",""
"105","Sound","301","mute Hancock",""
"105","Sound","302","fade down Thomson",""
"106","Sound","303","unmute John",""
"106","Sound","304","unmute Franklin",""
"106","Sound","305","unmute Jefferson",""
"106","Sound","306","fade up Thomson",""
"106","Sound","307","fade out Thomson",""
"106","Sound","308","mute Thomson",""
"107","Sound","309","unmute Band",""
"111","Sound","319","mute John, Franklin, Jefferson",""
"112","Sound","320","unmute Thomson",""
"112","Sound","321","mute Thomson",""
"112","Sound","322","unmute Hancock",""
"112","Sound","323","unmute Congress",""
"113","Sound","324","mute Congress",""
"113","Sound","325","unmute McKean",""
"113","Sound","326","unmute John",""
"113","Sound","327","mute McKean",""
"113","Sound","328","unmute Hancock, Witherspoon",""
"113","Sound","329","mute Hancock",""
"113","Sound","330","mute Witherspoon",""
"114","Sound","331","unmute Hancock, Read",""
"114","Sound","332","mute Hancock",""
"114","Sound","333","unmute John",""
"114","Sound","334","mute John",""
"114","Sound","335","unmute Thomson",""
"114","Sound","336","mute Thomson",""
"114","Sound","337","unmute McKean",""
"114","Sound","338","unmute Hancock",""
"114","Sound","339","mute Mckean, Read",""
"115","Sound","340","unmute Hopkins",""
"115","Sound","341","mute Hopkins",""
"115","Sound","342","mute Hancock",""
"115","Sound","343","unmute Bartlett",""
"115","Sound","344","unmute John",""
"115","Sound","345","mute Bartlett",""
"115","Sound","346","unmute Thomson",""
"115","Sound","347","mute Thomson",""
"116","Sound","348","unmute Jefferson",""
"116","Sound","349","mute Jefferson",""
"116","Sound","350","unmute McNair, Hancock",""
"116","Sound","351","mute McNair",""
"116","Sound","352","unmute Sherman",""
"116","Sound","353","mute Sherman",""
"116","Sound","354","unmute John, Franklin",""
"117","Sound","355","unmute Hancock",""
"117","Sound","356","mute Hancock",""
"117","Sound","357","mute Franklin, John",""
"117","Sound","358","unmute Hancock, Dickinson",""
"117","Sound","359","mute Hancock",""
"117","Sound","360","unmute Jefferson",""
"118","Sound","361","unmute Wilson",""
"118","Sound","362","mute Wilson",""
"118","Sound","363","mute Dickinson",""
"118","Sound","364","unmute Thomson",""
"118","Sound","365","mute Jefferson, Thomson",""
"119","Sound","366","unmute Hancock",""
"119","Sound","367","mute Hancock",""
"119","Sound","368","unmute Hewes",""
"119","Sound","369","mute Hewes",""
"119","Sound","370","unmute John",""
"119","Sound","371","mute John",""
"119","Sound","372","unmute Rutledge, Franklin",""
"119","Sound","373","mute Franklin",""
"120","Sound","374","unmute Hancock, Thomson",""
"120","Sound","375","mute Hancock",""
"120","Sound","376","mute Thomson",""
"121","Sound","377","unmute John",""
"122","Sound","378","mute Jefferson",""
"122","Sound","379","mute John",""
"122","Sound","380","unmute Hopkins",""
"122","Sound","381","mute Hopkins",""
"122","Sound","382","unmute Band",""
"125","Sound","390","unmute Bartlett",""
"125","Sound","391","mute Bartlett",""
"125","Sound","392","mute Rutledge",""
"125","Sound","393","unmute John",""
"125","Sound","394","mute John",""
"125","Sound","395","unmute Witherspoon, McKean",""
"125","Sound","396","mute Witherspoon, McKean",""
"126","Sound","397","unmute Chase",""
"126","Sound","398","mute Chase",""
"126","Sound","399","unmute Dickinson",""
"126","Sound","400","mute Dickinson",""
"126","Sound","401","unmute Hancock, McNair",""
"126","Sound","402","mute Hancock, McNair",""
"126","Sound","403","unmute John",""
